"model","FH","sMAPE","RRMSE","R2"
"knn","ODA",0.0714914579667754,0.0776429105853683,0.180317260134572
"svmRadial","ODA",0.0822777118919003,0.0998364716968918,0.4815400107732
"cubist","ODA",0.0388314725911521,0.0509040852225873,0.026167776548437
"brnn","ODA",0.0613211417542346,0.0654196706233641,0.140038121602638
"qrf","ODA",0.050931958576667,0.056739910082992,0.0104344103883519
"knn","TDA",0.0648971747493331,0.0792175702070598,0.0593681421067307
"svmRadial","TDA",0.0789973260858617,0.0991826765635599,0.372771122041537
"cubist","TDA",0.0511395039915857,0.0587704574269251,0.000941878740527575
"brnn","TDA",0.0730729069349982,0.0867292058497161,0.327612306464235
"qrf","TDA",0.0382554472306801,0.0427283774768867,0.706533108834651
"knn","SDA",0.0727714383272011,0.0904894642484199,0.418258872307508
"svmRadial","SDA",0.0792785904685228,0.0994934626026561,0.385637382389365
"cubist","SDA",0.0495855940118566,0.0548275402270132,0.0664944104351868
"brnn","SDA",0.0866110417496392,0.105332395309159,0.222770362882355
"qrf","SDA",0.0391349249715269,0.0453621648084561,0.488663039981461
