"model","FH","sMAPE","RRMSE","R2"
"brnn","Three-steps",0.0247628536613191,0.0309472866313624,0.820025959775482
"cubist","Three-steps",0.0234429046382145,0.029567659728183,0.828826503213915
"knn","Three-steps",0.0324866151021519,0.0452257143828101,0.663343861580731
"qrf","Three-steps",0.0319990548958412,0.0384084507860607,0.789100157357452
"svmRadial","Three-steps",0.0484120229443439,0.053546014182102,0.532012184803675
"brnn","Six-steps",0.044773504048468,0.0554607892438837,0.469587076643694
"cubist","Six-steps",0.0244696315576181,0.0315699193119751,0.804204366237818
"knn","Six-steps",0.0447307467888095,0.0587517529083516,0.586003460182695
"qrf","Six-steps",0.0516570724401961,0.0659500111509722,0.544539224647916
"svmRadial","Six-steps",0.0470183112854724,0.0517899196224757,0.556373371644085
"brnn","Twelve-steps",0.0612502068485083,0.0778907973911089,0.295599348330199
"cubist","Twelve-steps",0.0315581828576876,0.040354662767004,0.689505310600754
"knn","Twelve-steps",0.0446424095841998,0.058891938721276,0.590850557283343
"qrf","Twelve-steps",0.087733170303753,0.125975040901899,0.111760904182215
"svmRadial","Twelve-steps",0.0466641275355925,0.0513486540354782,0.584240581552729
